ID,Start Date,End Date,Category,Currency,Goal,Status
120,9-Feb-16,,Sports & Competitions,Canadian Dollar,5000,Failed
121,5/13/2014,6/7/2014,Arts & Creative,USD,10000,Success
122,1/2/2014,2/1/2014,Publishing,USD,9000,Failed
123,1-Jan-13,,Family & Kids,U.S. Dollar,3000,Failed
124,4/21/2014,5/21/2014,Design,AUD,4000,Failed
125,3/21/2014,4/20/2014,Technology,USD,5000,Success
126,10-May-16,,Education & Schools,Canadian Dollar,1500,Failed
127,2-Jun-18,,Animals & Humane,Euro,250,Failed
128,5/2/2014,6/11/2014,Design,CAD,55000,Failed
129,1/29/2014,2/28/2014,Fashion,USD,2000,Failed
130,5/22/2014,6/24/2014,Design,USD,20000,Failed
131,3/5/2014,4/4/2014,Film & Video,USD,28000,Success
132,17-Feb-16,,Faith & Religion,U.S. Dollar,2000,Failed
133,1/10/2014,2/11/2014,Publishing,USD,20000,Success
134,4/15/2014,5/15/2014,Theater,USD,5000,Success
135,4-Jul-16,,Business,Canadian Dollar,500,Failed
136,1/25/2014,3/22/2014,Crafts,USD,10000,Failed
137,25-Aug-14,,Business,Canadian Dollar,10000,Failed
138,9-Apr-16,,Family & Kids,Pound Sterling,100,Success
139,1/7/2014,2/6/2014,Food,USD,3000,Failed
140,20-Nov-14,,Business,Canadian Dollar,100000,Failed
141,4/30/2014,5/30/2014,Film & Video,USD,32000,Failed
142,5/16/2014,6/16/2014,Design,USD,18500,Failed
143,2/18/2014,4/4/2014,Design,USD,25000,Success
144,15-Apr-14,,Celebrations and Weddings,U.S. Dollar,6000,Failed
145,2/13/2014,3/15/2014,Publishing,USD,2000,Success
146,1-Feb-15,,Veterans & Heroes,Euro,1500,Failed
147,2/3/2014,3/5/2014,Theater,CAD,12000,Failed
148,3/29/2014,5/28/2014,Film & Video,GBP,25000,Failed
149,2/13/2014,3/18/2014,Theater,USD,10000,Success
150,2/14/2014,4/1/2014,Food,CAD,5500,Success
151,12/17/2013,1/16/2014,Design,USD,6000,Failed
152,1/31/2014,3/1/2014,Food,USD,14781,Success
153,3/31/2014,5/1/2014,Dance,USD,600,Success
154,14-Jan-15,,Accidents & Disasters,Canadian Dollar,3500,Failed
155,15-Jan-16,,Sports & Competitions,Pound Sterling,1500,Failed
156,4/23/2014,6/7/2014,Food,USD,110000,Failed
157,1/22/2014,2/21/2014,Food,USD,4999,Failed
158,14-Jul-16,,Arts & Creative,U.S. Dollar,1800,Failed
159,4/14/2014,5/6/2014,Dance,USD,2000,Success
160,5/21/2014,6/21/2014,Fashion,USD,25000,Success
161,2/21/2014,3/23/2014,Music,USD,1000,Failed
162,5/27/2014,6/24/2014,Music,USD,6500,Success
163,2/7/2014,3/9/2014,Publishing,USD,15000,Failed
164,26-Mar-15,,Politics,U.S. Dollar,10000,Failed
165,4/2/2014,5/2/2014,Design,USD,5000,Success
166,29-Apr-14,,Business,U.S. Dollar,40000,Failed
167,2/27/2014,3/30/2014,Design,GBP,50000,Failed
168,1/10/2014,1/26/2014,Music,USD,3500,Success
169,5/25/2014,6/23/2014,Publishing,GBP,6000,Success
170,4/4/2014,4/20/2014,Dance,USD,750,Success
171,5/21/2014,6/20/2014,Film & Video,USD,250,Failed
172,10-Sep-16,,Faith & Religion,U.S. Dollar,1500,Failed
173,1/16/2014,2/5/2014,Film & Video,USD,4980,Failed
174,4-May-18,,"Health, Illness or Medical",Canadian Dollar,10000,Failed
175,18-Apr-15,,Faith & Religion,U.S. Dollar,250000,Failed
176,12/23/2013,2/21/2014,Technology,USD,120000,Failed
177,2/11/2014,3/8/2014,Film & Video,GBP,2000,Failed
178,3/21/2014,4/20/2014,Film & Video,USD,21500,Failed
179,4/11/2014,5/3/2014,Photography,USD,8000,Success
180,3/3/2014,4/17/2014,Games,USD,10000,Failed
181,5/6/2014,6/4/2014,Music,USD,1500,Failed
182,2/24/2014,3/22/2014,Games,USD,15000,Success
183,5/12/2014,6/9/2014,Games,GBP,40000,Failed
184,3/10/2014,4/9/2014,Music,USD,4000,Success
185,5/2/2014,5/18/2014,Music,USD,3100,Success
186,3/18/2014,4/27/2014,Film & Video,USD,158000,Success
187,12/20/2013,2/8/2014,Design,USD,190000,Failed
188,1/28/2014,2/24/2014,Film & Video,USD,11000,Success
189,4/7/2014,5/7/2014,Arts & Creative,USD,8500,Failed
190,2/14/2014,3/16/2014,Technology,USD,15000,Failed
191,12-Sep-16,,Arts & Creative,U.S. Dollar,3500,Failed
192,22-Jul-15,,Accidents & Disasters,U.S. Dollar,2000,Failed
193,3/11/2014,4/10/2014,Arts & Creative,USD,1220,Failed
194,2/20/2014,3/16/2014,Film & Video,USD,10000,Success
195,12-Mar-15,,Memorials & Funerals,Pound Sterling,500,Success
196,1/10/2014,3/11/2014,Music,USD,5172,Success
197,8-Apr-16,,Politics,Israeli New Sheqel,25000,Failed
198,5/22/2014,6/21/2014,Theater,USD,50000,Failed
199,5-Apr-16,,Business,U.S. Dollar,1000,Failed
200,8-Apr-16,,Education & Schools,Canadian Dollar,10000,Failed
201,3/8/2014,4/7/2014,Technology,USD,75000,Failed
202,5-Mar-14,,Business,Euro,5000,Failed
203,2/12/2014,3/9/2014,Journalism,USD,10000,Failed
204,14-Feb-15,,Politics,U.S. Dollar,1500,Failed
205,5/16/2014,6/16/2014,Publishing,USD,4000,Failed
206,3/22/2014,4/24/2014,Music,USD,4400,Success
207,14-Nov-17,,"Health, Illness or Medical",U.S. Dollar,375,Success
208,3/24/2014,4/23/2014,Design,USD,9000,Failed
209,1/5/2014,2/4/2014,Fashion,USD,5000,Failed
210,1-Sep-16,,Family & Kids,U.S. Dollar,50000,Failed
211,4/25/2014,5/23/2014,Music,USD,1000,Success
212,3/1/2014,4/1/2014,Fashion,USD,7500,Failed
213,2/26/2014,3/28/2014,Arts & Creative,GBP,500,Failed
214,12/19/2013,2/2/2014,Design,USD,2000,Failed
215,5/20/2014,6/19/2014,Film & Video,USD,7500,Success
216,4/3/2014,5/3/2014,Design,CAD,18000,Failed
217,2/14/2014,3/16/2014,Photography,USD,25000,Failed
218,1/15/2014,2/22/2014,Film & Video,USD,10000,Failed
219,1/31/2014,3/17/2014,Food,USD,5000,Failed
220,3/13/2014,4/13/2014,Games,USD,4000,Failed
221,1/10/2014,2/9/2014,Publishing,GBP,882,Success
222,7-Jun-15,,Memorials & Funerals,Pound Sterling,500,Success
223,2/10/2014,3/12/2014,Photography,GBP,5000,Success
224,1/14/2014,2/17/2014,Film & Video,USD,1250,Success
225,2/7/2014,3/9/2014,Photography,USD,4000,Success
226,20-Feb-16,,Business,Euro,2000,Failed
227,2/24/2014,3/24/2014,Film & Video,GBP,500,Success
228,1/4/2014,2/15/2014,Publishing,USD,28500,Failed
229,12/17/2013,2/1/2014,Music,USD,420,Success
230,4/23/2014,5/13/2014,Food,USD,15000,Success
231,1-May-18,,Animals & Humane,Canadian Dollar,1000,Failed
232,23-Dec-14,,Accidents & Disasters,U.S. Dollar,10000,Failed
233,1/24/2014,3/1/2014,Film & Video,USD,25000,Failed
234,1/14/2014,3/15/2014,Film & Video,USD,180000,Failed
235,1/14/2014,2/13/2014,Music,USD,3200,Success
236,3/31/2014,4/30/2014,Photography,USD,900,Success
237,24-Sep-17,,Accidents & Disasters,Pound Sterling,500,Success
238,5-Apr-17,,Education & Schools,U.S. Dollar,750,Success
239,29-Sep-14,,Celebrations and Weddings,U.S. Dollar,1500,Success
240,27-Feb-13,,Community & Volunteer,Euro,5000,Failed
241,18-Apr-16,,Alumni & Clubs,U.S. Dollar,1400,Failed
242,1/20/2014,2/8/2014,Film & Video,CAD,18500,Success
243,4/2/2014,4/23/2014,Design,CAD,20000,Failed
244,10-Apr-14,,Veterans & Heroes,U.S. Dollar,5000,Failed
245,4/9/2014,4/30/2014,Arts & Creative,AUD,3600,Success
246,1/25/2014,2/23/2014,Film & Video,GBP,1000,Success
247,1/14/2014,2/8/2014,Theater,CAD,500,Success
248,2/27/2014,3/23/2014,Film & Video,USD,200,Success
249,2/3/2014,3/9/2014,Film & Video,USD,700,Failed
250,4/14/2014,5/14/2014,Film & Video,NZD,5500,Failed
251,3/12/2014,4/11/2014,Music,USD,500,Failed
252,3/5/2014,4/4/2014,Technology,USD,49700,Failed
253,2-Mar-16,,Arts & Creative,U.S. Dollar,3000,Failed
254,2/24/2014,4/25/2014,Games,USD,1500,Failed
255,4/21/2014,6/6/2014,Arts & Creative,USD,2500,Success
256,5/27/2014,6/3/2014,Film & Video,GBP,4000,Success
257,1/7/2014,2/7/2014,Publishing,USD,9000,Failed
258,2/26/2014,3/27/2014,Fashion,USD,1500,Failed
259,10-Jan-18,,"Health, Illness or Medical",U.S. Dollar,15000,Failed
260,1-Feb-17,,Education & Schools,U.S. Dollar,1400,Success
261,10-Dec-12,,Community & Volunteer,U.S. Dollar,400,Success
262,6/5/2014,6/24/2014,Music,USD,2000,Success
263,2/28/2014,4/4/2014,Design,USD,10000,Success
264,5/30/2014,6/22/2014,Film & Video,GBP,200,Success
265,2-Aug-15,,Arts & Creative,U.S. Dollar,30000,Failed
266,30-Jan-14,,Veterans & Heroes,U.S. Dollar,1500,Failed
267,4/9/2014,5/9/2014,Fashion,USD,10500,Failed
268,1/14/2014,2/6/2014,Arts & Creative,USD,5000,Failed
269,1/29/2014,2/28/2014,Crafts,USD,1500,Success
270,4/11/2014,5/11/2014,Fashion,USD,14000,Success
271,3/14/2014,4/13/2014,Film & Video,USD,10000,Failed
272,3-Mar-18,,Community & Volunteer,U.S. Dollar,350000,Failed
273,4/8/2014,5/8/2014,Music,USD,3000,Failed
274,30-Sep-15,,Memorials & Funerals,U.S. Dollar,2000,Failed
275,27-Jul-18,,Animals & Humane,U.S. Dollar,300,Failed
276,5-Aug-16,,Sports & Competitions,U.S. Dollar,1000,Failed
277,4/10/2014,5/10/2014,Publishing,USD,4000,Success
278,3/26/2014,4/25/2014,Design,USD,12000,Failed
279,19-Mar-18,,Community & Volunteer,Canadian Dollar,2700,Failed
280,5/6/2014,3/7/2014,Publishing,GBP,1046,Failed
281,3/3/2014,4/5/2014,Design,USD,15000,Success
282,3/14/2014,4/28/2014,Music,USD,3200,Failed
283,5/6/2014,6/10/2014,Film & Video,USD,30000,Success
284,8-Aug-15,,Business,U.S. Dollar,5000,Failed
285,3/27/2014,4/26/2014,Film & Video,USD,150000,Failed
286,29-May-18,,Animals & Humane,U.S. Dollar,315,Failed
287,4/18/2014,5/21/2014,Music,USD,30000,Failed
288,4/23/2014,5/27/2014,Design,USD,20000,Failed
289,6/8/2014,6/16/2014,Theater,USD,2000,Failed
290,22-Jul-16,,Legal,U.S. Dollar,5000,Failed
291,5/21/2014,6/2/2014,Games,GBP,2500,Failed
292,3/3/2014,4/3/2014,Games,NZD,27000,Success
293,4/15/2014,5/25/2014,Film & Video,USD,115000,Failed
294,4/29/2014,5/29/2014,Arts & Creative,GBP,20000,Failed
295,2/12/2014,3/14/2014,Film & Video,USD,3200,Success
296,4/18/2014,5/10/2014,Film & Video,USD,13000,Failed
297,4/28/2014,6/12/2014,Publishing,USD,150000,Failed
298,12/30/2013,2/28/2014,Arts & Creative,USD,22000,Failed
299,12/28/2013,1/27/2014,Publishing,USD,10000,Failed
300,4/19/2014,6/1/2014,Film & Video,USD,95000,Failed
301,3/20/2014,4/30/2014,Music,GBP,5000,Success
302,3/11/2014,4/13/2014,Photography,GBP,3500,Failed
303,2/10/2014,3/12/2014,Publishing,USD,15000,Failed
304,4/5/2014,5/3/2014,Technology,USD,20000,Success
305,2/11/2014,3/4/2014,Arts & Creative,USD,3600,Success
306,6-Sep-14,,Politics,Pound Sterling,5000,Failed
307,5/6/2014,6/5/2014,Arts & Creative,USD,7000,Failed
308,3/17/2014,4/16/2014,Dance,USD,3000,Failed
309,4/25/2014,6/9/2014,Photography,USD,6500,Failed
310,5/8/2014,6/3/2014,Film & Video,USD,6500,Success
311,1/16/2014,2/15/2014,Publishing,USD,7900,Failed
312,4/10/2014,5/10/2014,Arts & Creative,USD,2500,Success
313,12-Aug-18,,Non-profits & Charity,U.S. Dollar,5000,Failed
314,3/6/2014,4/10/2014,Film & Video,USD,22000,Failed
315,17-Nov-17,,Community & Volunteer,U.S. Dollar,2000,Failed
316,1/9/2014,2/23/2014,Music,USD,3600,Success
317,26-Sep-17,,"Health, Illness or Medical",U.S. Dollar,349,Failed
318,4/21/2014,5/21/2014,Arts & Creative,USD,75000,Failed
319,12/24/2013,1/26/2014,Film & Video,USD,56000,Failed
320,24-Nov-17,,Legal,U.S. Dollar,1500,Failed
321,17-Oct-17,,Animals & Humane,U.S. Dollar,600,Failed
322,2/4/2014,3/6/2014,Games,USD,30000,Failed
323,3/10/2014,4/19/2014,Music,USD,10000,Success
324,4/24/2014,6/23/2014,Film & Video,USD,75000,Failed
325,17-Jul-13,,Alumni & Clubs,U.S. Dollar,120,Success
326,5/7/2014,6/7/2014,Film & Video,USD,25000,Failed
327,5/1/2014,6/1/2014,Publishing,CAD,15000,Success
328,4/1/2014,5/1/2014,Music,USD,500,Success
329,5/20/2014,6/2/2014,Games,USD,25000,Failed
330,15-Aug-17,,Community & Volunteer,U.S. Dollar,5000,Failed
331,4/15/2014,5/15/2014,Music,USD,10000,Success
332,3-Sep-15,,Politics,Canadian Dollar,20000,Failed
333,2/4/2014,3/6/2014,Food,USD,70000,Failed
334,5/21/2014,6/25/2014,Publishing,GBP,2150,Success
335,12/26/2013,1/20/2014,Music,USD,5000,Success
336,2/26/2014,3/29/2014,Fashion,USD,7000,Success
337,3/8/2014,4/7/2014,Publishing,GBP,2000,Success
338,3/28/2014,4/11/2014,Film & Video,USD,550,Success
339,17-Nov-14,,Sports & Competitions,U.S. Dollar,95000,Failed
340,5/23/2014,6/21/2014,Design,USD,3000,Success
341,22-Aug-16,,Arts & Creative,U.S. Dollar,8300,Failed
342,1/9/2014,2/8/2014,Food,USD,2000,Failed
343,22-Nov-12,,Education & Schools,U.S. Dollar,14000,Failed
344,1/3/2014,2/2/2014,Design,USD,1000,Failed
345,2/25/2014,3/31/2014,Film & Video,USD,20000,Success
346,12/29/2013,2/27/2014,Food,USD,16000,Success
347,2/24/2014,3/11/2014,Film & Video,USD,2000,Failed
348,3/3/2014,3/24/2014,Publishing,USD,1500,Success
349,23-Jun-12,,Alumni & Clubs,U.S. Dollar,5000,Failed
350,3/11/2014,4/8/2014,Film & Video,USD,8000,Failed
351,3/5/2014,4/9/2014,Publishing,GBP,62000,Failed
352,6-Dec-12,,Animals & Humane,U.S. Dollar,500,Success
353,2/26/2014,3/28/2014,Music,USD,1500,Failed
354,5/21/2014,6/20/2014,Music,USD,5500,Success
355,2/28/2014,3/30/2014,Film & Video,USD,4000,Failed
356,3/25/2014,5/24/2014,Film & Video,USD,50000,Success
357,21-Jun-16,,Family & Kids,U.S. Dollar,15000,Failed
358,2/14/2014,3/1/2014,Food,USD,7500,Success
359,12-Jul-16,,Veterans & Heroes,U.S. Dollar,1000,Failed
360,8-Jan-16,,Education & Schools,U.S. Dollar,25000,Failed
361,4/5/2014,5/5/2014,Film & Video,USD,5000,Success
362,1/8/2014,2/7/2014,Games,AUD,25615,Failed
363,2/26/2014,4/26/2014,Arts & Creative,NZD,1500,Failed
364,1/22/2014,2/23/2014,Dance,GBP,3500,Success
365,4-Nov-15,,Memorials & Funerals,U.S. Dollar,20000,Failed
366,17-Sep-14,,Travel,U.S. Dollar,2500,Failed
367,5/6/2014,5/31/2014,Photography,GBP,1200,Failed
368,3/9/2014,4/6/2014,Photography,USD,5500,Success
369,3/29/2014,5/13/2014,Fashion,USD,4000,Failed
370,13-Apr-15,,Politics,Canadian Dollar,2600,Failed
371,1/9/2014,2/8/2014,Film & Video,GBP,6000,Failed
372,4/23/2014,5/14/2014,Dance,USD,3000,Success
373,19-Jan-16,,Arts & Creative,Canadian Dollar,1500,Failed
374,3/17/2014,5/16/2014,Music,GBP,500,Success
375,12/18/2013,2/1/2014,Music,USD,18000,Success
376,1/7/2014,2/8/2014,Arts & Creative,USD,20000,Success
377,2/27/2014,3/29/2014,Publishing,CAD,1200,Success
378,2/21/2014,4/22/2014,Arts & Creative,CAD,2000,Failed
379,2/19/2014,3/20/2014,Film & Video,GBP,5000,Failed
380,3/3/2014,4/2/2014,Music,USD,1000,Success
381,3/30/2014,5/4/2014,Publishing,USD,10000,Failed
382,3/15/2014,4/14/2014,Games,USD,1500,Success
383,14-Aug-18,"Sep 20, 2018

					,

				",Community & Volunteer,Canadian Dollar,10000,Failed
384,9-Apr-16,,Legal,U.S. Dollar,9500,Failed
385,3/4/2014,4/3/2014,Design,USD,10000,Failed
386,6-Aug-15,,Memorials & Funerals,U.S. Dollar,15000,Failed
387,2/18/2014,3/20/2014,Publishing,USD,2500,Success
388,1/5/2014,2/2/2014,Film & Video,USD,3500,Failed
389,5/22/2014,6/21/2014,Music,USD,1500,Failed
390,12/18/2013,5/16/2014,Music,USD,100000,Failed
391,3/25/2014,5/23/2014,Technology,GBP,2000,Success
392,5/9/2014,5/29/2014,Music,AUD,5500000,Failed
393,2/4/2014,3/6/2014,Film & Video,USD,8000,Failed
394,2/28/2014,3/30/2014,Dance,USD,5000,Success
395,20-Mar-12,,Arts & Creative,U.S. Dollar,2000,Failed
396,1/16/2014,2/15/2014,Publishing,USD,2500,Success
397,16-Mar-16,,Business,Canadian Dollar,200000,Failed
398,4/22/2014,6/6/2014,Design,USD,13000,Failed
399,3/14/2014,4/13/2014,Games,USD,100,Success
400,4/2/2014,6/1/2014,Film & Video,CAD,375000,Failed
401,1/31/2014,3/2/2014,Photography,USD,500,Success
402,2/28/2014,4/29/2014,Design,USD,25000,Success
403,4/29/2014,5/29/2014,Film & Video,USD,1000,Failed
404,3/20/2014,4/9/2014,Film & Video,GBP,1200,Failed
405,20-Oct-14,,Travel,Canadian Dollar,5000,Failed
406,5-Sep-16,,Accidents & Disasters,U.S. Dollar,10000,Failed
407,5/6/2014,5/27/2014,Film & Video,GBP,1000,Failed
408,14-Jan-18,,"Health, Illness or Medical",U.S. Dollar,1000,Failed
409,4/29/2014,6/2/2014,Theater,USD,14000,Failed
410,17-Jan-15,,Veterans & Heroes,U.S. Dollar,500,Failed
411,4/18/2014,5/20/2014,Music,USD,5000,Success
412,1/3/2014,2/2/2014,Crafts,USD,8000,Failed
413,3/17/2014,4/13/2014,Photography,USD,1001,Success
414,2-Jan-14,,Travel,U.S. Dollar,5000,Failed
415,1/16/2014,2/15/2014,Games,USD,10000,Success
416,2/18/2014,3/19/2014,Fashion,USD,3000,Failed
417,2/18/2014,3/20/2014,Music,USD,1000,Failed
418,5/23/2014,6/15/2014,Food,USD,15000,Success
419,15-Aug-14,,Veterans & Heroes,U.S. Dollar,5000,Failed
420,5-Dec-15,,Family & Kids,Canadian Dollar,500,Failed
421,1-Feb-15,,Accidents & Disasters,U.S. Dollar,5000,Success
422,3/31/2014,4/30/2014,Food,USD,5000,Success
423,5/1/2014,6/3/2014,Design,USD,14000,Failed
424,26-May-18,"Sep 1, 2018

					,

				",Education & Schools,Canadian Dollar,12000,Failed
425,3/18/2014,4/17/2014,Publishing,USD,20000,Success
426,2-Apr-15,,Veterans & Heroes,U.S. Dollar,50000,Failed
427,1/2/2014,2/1/2014,Arts & Creative,USD,10000,Success
428,2/1/2014,2/17/2014,Arts & Creative,USD,2700,Success
429,21-Aug-14,,Faith & Religion,U.S. Dollar,7000,Failed
430,5/17/2014,6/18/2014,Music,USD,3500,Failed
431,1/7/2014,1/22/2014,Music,USD,4500,Failed
432,3/6/2014,4/5/2014,Publishing,USD,5000,Success
433,1/15/2014,2/24/2014,Design,USD,25000,Success
434,1-Nov-16,,Sports & Competitions,Euro,100,Success
435,5/20/2014,6/9/2014,Photography,USD,3000,Success
436,22-Jun-15,,"Health, Illness or Medical",U.S. Dollar,10000,Failed
437,12/18/2013,1/8/2014,Music,USD,3000,Success
438,2/24/2014,3/26/2014,Arts & Creative,USD,3500,Failed
439,3/2/2014,4/1/2014,Fashion,USD,20000,Success
440,5/20/2014,6/19/2014,Film & Video,USD,7000,Failed
441,8-Mar-13,,Veterans & Heroes,U.S. Dollar,3000,Failed
442,2/18/2014,3/5/2014,Theater,USD,5000,Success
